Time,OnCollider,CollisionCount
0.35,0,0
0.47,0,0
0.63,0,0
0.96,0,0
1.06,0,0
1.16,0,0
1.26,0,0
1.36,0,0
1.47,0,0
1.57,0,0
1.67,0,0
1.78,0,0
1.88,0,0
1.99,0,0
2.10,0,0
2.20,0,0
2.30,0,0
2.41,0,0
2.52,0,0
2.62,0,0
2.73,0,0
2.83,0,0
2.94,0,0
3.05,0,0
3.16,0,0
3.26,0,0
3.37,0,0
3.47,0,0
3.58,0,0
3.69,0,0
3.80,0,0
3.90,0,0
4.00,0,0
4.10,0,0
4.21,0,0
4.31,0,0
4.42,0,0
4.52,0,0
4.62,0,0
4.72,0,0
4.82,0,0
4.92,0,0
5.02,0,0
5.13,0,0
5.23,0,0
5.33,0,0
5.44,0,0
5.54,0,0
5.64,0,0
5.74,0,0
5.85,0,0
5.95,0,0
6.06,0,0
6.16,0,0
6.26,0,0
6.36,0,0
6.47,0,0
6.57,0,0
6.67,0,0
6.78,0,0
6.88,0,0
6.98,0,0
7.09,0,0
7.19,0,0
7.29,0,0
7.39,0,0
7.50,0,0
7.60,0,0
7.70,0,0
7.81,0,0
7.91,0,0
8.01,0,0
8.12,0,0
8.23,0,0
8.33,0,0
8.44,0,0
8.54,0,0
8.64,0,0
8.75,0,0
8.85,0,0
8.96,0,0
9.06,0,0
9.16,0,0
9.26,0,0
9.36,0,0
9.47,0,0
9.57,0,0
9.68,0,0
9.78,0,0
9.88,0,0
9.98,0,0
10.09,0,0
10.20,0,0
10.30,0,0
10.40,0,0
10.50,0,0
10.61,0,0
10.71,0,0
10.81,0,0
10.92,0,0
11.02,0,0
11.12,0,0
11.23,0,0
11.33,0,0
11.44,0,0
11.55,0,0
11.65,0,0
11.75,0,0
11.86,0,0
11.96,0,0
12.06,0,0
12.17,0,0
12.27,0,0
12.38,0,0
12.48,0,0
12.59,0,0
12.70,0,0
12.80,0,0
12.91,0,0
13.02,0,0
13.13,0,0
13.23,0,0
13.34,0,0
13.44,0,0
13.55,0,0
13.65,0,0
13.75,0,0
13.86,0,0
13.96,0,0
14.07,0,0
14.18,0,0
14.29,0,0
14.39,0,0
14.49,0,0
14.60,0,0
14.70,0,0
14.80,0,0
14.90,0,0
15.00,0,0
15.10,0,0
15.21,0,0
15.31,0,0
15.42,0,0
15.52,0,0
15.62,0,0
15.72,0,0
15.83,0,0
15.93,0,0
16.05,0,0
16.15,0,0
16.25,0,0
16.36,0,0
16.46,0,0
16.57,0,0
16.67,0,0
16.77,0,0
16.88,0,0
16.98,0,0
17.08,0,0
17.18,0,0
17.28,0,0
17.39,0,0
17.49,0,0
17.61,0,0
17.72,0,0
17.83,0,0
17.93,0,0
18.04,0,0
18.14,0,0
18.24,0,0
18.34,0,0
18.45,0,0
18.55,0,0
18.65,0,0
18.75,0,0
18.86,0,0
18.96,0,0
19.07,0,0
19.17,0,0
19.27,0,0
19.38,0,0
19.48,0,0
19.58,0,0
19.68,0,0
19.79,0,0
19.89,0,0
19.99,0,0
20.10,0,0
20.20,0,0
20.31,0,0
20.41,0,0
20.52,0,0
20.62,0,0
20.73,0,0
20.83,0,0
20.94,0,0
21.04,0,0
21.15,0,0
21.25,0,0
21.36,0,0
21.46,0,0
21.57,0,0
21.67,0,0
21.78,0,0
21.88,0,0
21.99,0,0
22.10,0,0
22.20,0,0
22.31,0,0
22.41,0,0
22.52,0,0
22.62,0,0
22.73,0,0
22.84,0,0
22.94,0,0
23.05,0,0
23.16,0,0
23.26,0,0
23.36,0,0
23.47,0,0
23.58,0,0
23.68,0,0
23.79,0,0
23.90,0,0
24.00,0,0
24.10,0,0
24.21,0,0
24.32,0,0
24.42,0,0
24.52,0,0
24.62,0,0
24.73,0,0
24.84,0,0
24.95,0,0
25.05,0,0
25.16,0,0
25.27,0,0
25.37,0,0
25.48,0,0
25.58,0,0
25.68,0,0
25.78,0,0
25.89,0,0
26.00,0,0
26.10,0,0
26.20,0,0
26.31,0,0
26.41,0,0
26.52,0,0
26.63,0,0
26.73,0,0
26.84,0,0
26.94,0,0
27.06,0,0
27.17,0,0
27.27,0,0
27.37,0,0
